number,name,address,latitude,longitude,banking,total_stands
67,"THE POINT","The Point",53.346867,-6.230852,False,40
68,"HANOVER QUAY","Hanover Quay",53.344115,-6.237153,True,40
69,"GRAND CANAL DOCK","Grand Canal Dock",53.342638,-6.238695,False,40
71,"KEVIN STREET","Kevin Street",53.337757,-6.267699,True,40
72,"JOHN STREET WEST","John Street West",53.343105,-6.277167,False,31
73,"FRANCIS STREET","Francis Street",53.342081,-6.275233,False,30
74,"OLIVER BOND STREET","Oliver Bond Street",53.343893,-6.280531,False,30
75,"JAMES STREET","James Street",53.343456,-6.287409,True,40
76,"MARKET STREET SOUTH","Market Street South",53.342296,-6.287661,False,38
77,"WOLFE TONE STREET","Wolfe Tone Street",53.348875,-6.267459,False,29
78,"MATER HOSPITAL","Mater Hospital",53.359967,-6.264828,False,40
79,"ECCLES STREET EAST","Eccles Street East",53.358115,-6.265601,False,27
80,"ST JAMES HOSPITAL (LUAS)","St James Hospital (Luas)",53.341359,-6.292951,False,40
81,"ST. JAMES HOSPITAL (CENTRAL)","St. James Hospital (Central)",53.339983,-6.295594,False,40
82,"MOUNT BROWN","Mount Brown",53.341645,-6.297190,False,22
83,"EMMET ROAD","Emmet Road",53.340714,-6.308191,False,40
84,"BROOKFIELD ROAD","Brookfield Road",53.339005,-6.300217,False,30
85,"ROTHE ABBEY","Rothe Abbey",53.338776,-6.303950,True,35
86,"PARKGATE STREET","Parkgate Street",53.347972,-6.291804,True,38
87,"COLLINS BARRACKS MUSEUM","Collins Barracks Museum",53.347477,-6.285250,True,38
88,"BLACKHALL PLACE","Blackhall Place",53.348800,-6.281637,False,30
89,"FITZWILLIAM SQUARE EAST","Fitzwilliam Square East",53.335211,-6.250900,True,40
90,"BENSON STREET","Benson Street",53.344153,-6.233451,False,40
91,"SOUTH DOCK ROAD","South Dock Road",53.341833,-6.231291,False,30
92,"HEUSTON BRIDGE (NORTH)","Heuston Bridge (North)",53.347802,-6.292432,False,40
93,"HEUSTON STATION (CENTRAL)","Heuston Station (Central)",53.346603,-6.296924,False,40
94,"HEUSTON STATION (CAR PARK)","Heuston Station (Car Park)",53.346985,-6.297804,False,40
95,"ROYAL HOSPITAL","Royal Hospital",53.343897,-6.297060,True,40
96,"KILMAINHAM LANE","Kilmainham Lane",53.341805,-6.305085,False,30
97,"KILMAINHAM GAOL","Kilmainham Gaol",53.342113,-6.310015,True,40
98,"FREDERICK STREET SOUTH","Frederick Street South",53.341515,-6.256853,True,40
99,"CITY QUAY","City Quay",53.346637,-6.246154,False,30
100,"HEUSTON BRIDGE (SOUTH)","Heuston Bridge (South)",53.347106,-6.292041,False,25
101,"KING STREET NORTH","King Street North",53.350291,-6.273507,False,30
102,"WESTERN WAY","Western Way",53.354929,-6.269425,False,40
103,"GRANGEGORMAN LOWER (SOUTH)","Grangegorman Lower (South)",53.354663,-6.278681,False,40
104,"GRANGEGORMAN LOWER (CENTRAL)","Grangegorman Lower (Central)",53.355173,-6.278424,True,40
105,"GRANGEGORMAN LOWER (NORTH)","Grangegorman Lower (North)",53.355954,-6.278378,False,36
106,"RATHDOWN ROAD","Rathdown Road",53.358930,-6.280337,False,40
107,"CHARLEVILLE ROAD","Charleville Road",53.359157,-6.281866,True,40
108,"AVONDALE ROAD","Avondale Road",53.359405,-6.276142,False,40
109,"BUCKINGHAM STREET LOWER","Buckingham Street Lower",53.353331,-6.249319,False,29
110,"PHIBSBOROUGH ROAD","Phibsborough Road",53.356307,-6.273717,False,40
111,"MOUNTJOY SQUARE EAST","Mountjoy Square East",53.356717,-6.256359,True,40
112,"NORTH CIRCULAR ROAD (OCONNELLS)","North Circular Road (OConnells)",53.357841,-6.251557,False,30
113,"MERRION SQUARE SOUTH","Merrion Square South",53.338614,-6.248606,True,40
114,"WILTON TERRACE (PARK)","Wilton Terrace (Park)",53.333653,-6.248345,True,40
115,"KILLARNEY STREET","Killarney Street",53.354845,-6.247579,False,30
117,"HANOVER QUAY EAST","Hanover Quay East",53.343653,-6.231755,False,40
